Latitude,Longitude,Address,State
61.150824,-149.878439,"7710 King St, Anchorage, AK, 99518", Alaska
33.431657,-112.171474,"5216 W Mohave St, Phoenix, AZ, 85043", Arizona
34.061151,-117.553709,"301 S Rockefeller Ave, Ontario, CA, 91761", California
37.615359,-122.047616,"30852 San Antonio St, Hayward, CA, 94544", California
39.789612,-104.869367,"10252 E 51st Ave, Denver, CO, 80239", Colorado
41.92854,-72.711655,"14 International Dr, East Granby, CT, 06026", Connecticut
28.636653,-81.828183,"7600 American Way, Groveland, FL, 34736", Florida
34.053412,-84.606308,"4055 Royal Dr NW, Kennesaw, GA, 30144", Georgia
21.372052,-157.903677,"99-1445 Koaha Pl, Aiea, HI, 96701", Hawaii
39.055066,-84.623227,"1638 Dolwick Dr, Erlanger, KY, 41018", Kentucky
30.350276,-91.018983,"18251 E Petroleum Dr, Baton Rouge, LA, 70809", Louisiana
39.096958,-76.692526,"8271 Anderson Ct, Odenton, MD, 21113", Maryland
42.17865,-83.391294,"17605 Commerce Dr, New Boston, MI, 48164", Michigan
42.315025,-83.682765,"24 Frank Lloyd Wright Dr, Ann Arbor, MI, 48105", Michigan
44.836144,-93.131078,"3355 Mike Collins Dr, Saint Paul, MN, 55121", Minnesota
35.679421,-78.558712,"3100 Waterfield Dr, Garner, NC, 27529", North Carolina
40.525301,-74.324718,"1075 King Georges Post Rd, Edison, NJ, 08837", New Jersey
33.914457,-81.082417,"210 Foster Brothers Dr, West Columbia, SC, 29172", South Carolina
29.853215,-95.831456,"900 Igloo Rd, Katy, TX, 77493", Texas
32.729295,-97.019294,"900 State Hwy 161, Grand Prairie, TX, 75051", Texas
47.362506,-122.233958,"8005 S 266th St, Kent, WA, 98032", Washington