Title,Latitude,Longitude,State,Franchisee,Phone,ETA,Updated
3358,40.666971,-74.118807,NJ,"Ebrahim, Samer S.",(201) 858-3030,,2022-12-24 06:59:49
3359,39.452176,-74.727891,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 757-1000,13-28,2022-12-24 06:59:20
3378,40.775365,-74.165765,NJ,"Khan, Mohammad S.",(973) 475-8700,12-22,2022-12-24 06:59:21
3379,40.72194,-74.04717,NJ,"Khan, Mohammad S.",(201) 333-3322,15-30,2022-12-24 06:59:21
3384,40.71975,-74.078923,NJ,"Dunn, Clifton William",(201) 536-3030,19-29,2022-12-24 06:59:21
3386,40.869045,-74.133541,NJ,"Khan, Mohammad S.",(862) 234-2323,12-22,2022-12-24 06:59:20
3387,40.317654,-74.620011,NJ,"Khan, Muhammad Ratib",(609) 897-0888,17-27,2022-12-24 06:59:21
3392,40.619345,-74.49603,NJ,"Sheikh, Aziz A.",(908) 755-5757,16-31,2022-12-24 06:59:21
3393,40.014165,-74.321898,NJ,"Talwar, Subhash C.",(732) 657-7500,13-23,2022-12-24 06:59:21
3394,40.4612,-74.361,NJ,"Zaidi, Syed S.",(732) 613-4200,17-27,2022-12-24 06:59:21
3395,40.849595,-74.228451,NJ,"Martinez, Wellington",(973) 521-5547,12-22,2022-12-24 06:59:21
3652,40.648954,-74.344645,NJ,"Yaqoob, Waqas",(908) 889-1818,20-30,2022-12-24 06:59:29
3900,39.8152,-75.2578,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 224-8700,15-25,2022-12-24 06:59:38
3909,40.681592,-74.44743,NJ,"Patel, Nehal M.",(908) 898-0009,20-30,2022-12-24 06:59:38
3916,41.160161,-74.579567,NJ,"Ansari, Massoud",(973) 823-9111,20-30,2022-12-24 06:59:38
3917,39.939842,-75.119435,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 225-0400,15-25,2022-12-24 06:59:39
3918,39.567478,-74.369935,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 296-2900,10-25,2022-12-24 06:59:39
3925,40.7335,-74.0584,NJ,"Khan, Shafiq A.",(201) 721-6338,16-26,2022-12-24 06:59:39
3932,40.9559,-74.1817,NJ,"Martinez, Wellington",(973) 427-0039,15-15,2022-12-24 06:59:39
3940,39.75809,-74.24621,NJ,"Parmer, Jason M.",(609) 978-1333,25-34,2022-12-24 06:59:39
3941,41.037042,-74.700378,NJ,"Ansari, Massoud",(973) 579-3373,20-30,2022-12-24 06:59:39
3942,39.086099,-74.819801,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 465-9090,20-35,2022-12-24 06:59:39
3943,39.7654,-74.892,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 768-5522,15-25,2022-12-24 06:59:39
3944,40.83653,-74.11416,NJ,"Khan, Mohammad S.",(201) 933-7900,15-25,2022-12-24 06:59:41
3946,40.104182,-74.38932,NJ,"Joarder, Mohammed Shamsuzzaman",0,20-30,2022-12-24 06:59:39
3948,40.80418,-74.366436,NJ,"Atar, Murat",(973) 428-9400,15-30,2022-12-24 06:59:40
3955,40.201436,-74.027594,NJ,"Khan, Mohammad S.",(732) 776-8887,14-24,2022-12-24 06:59:40
3956,40.8182,-73.9934,NJ,"Khan, Mohammad S.",(201) 945-3700,11-21,2022-12-24 06:59:40
3957,39.6872,-74.991,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 728-5533,15-25,2022-12-24 06:59:40
3958,40.808791,-74.166213,NJ,"Khokhar, Mohammad I.",(973) 667-2222,20-30,2022-12-24 06:59:40
3959,40.9105,-74.0734,NJ,"Khan, Mohammad S.",(201) 587-9111,12-22,2022-12-24 06:59:44
3960,40.921967,-74.268633,NJ,"Martinez, Wellington",(973) 694-0042,15-25,2022-12-24 06:59:40
3961,40.707511,-74.208813,NJ,"Khan, Mohammad S.",(973) 926-6000,15-25,2022-12-24 06:59:40
3963,40.9154,-74.1729,NJ,"Dunn, Clifton William",(973) 345-3030,20-30,2022-12-24 06:59:40
3965,40.260333,-74.549739,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 443-0888,15-25,2022-12-24 06:59:40
3967,40.326316,-74.797705,NJ,"Mechael, Sameh M.",(609) 281-8000,20-30,2022-12-24 06:59:40
3968,40.1459,-74.226,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 901-7300,20-30,2022-12-24 06:59:40
3969,40.9947,-74.3502,NJ,"Martinez, Wellington",(973) 492-9300,25-33,2022-12-24 06:59:40
3970,40.44131,-74.42396,NJ,"Vahidi, Hadi",(732) 238-6500,17-27,2022-12-24 06:59:40
3971,40.227872,-74.669272,NJ,"Mechael, Sameh M.",(609) 208-0600,20-30,2022-12-24 06:59:40
3972,41.0574,-74.1391,NJ,"Tanoli, Rashid",(201) 934-1234,11-21,2022-12-24 06:59:40
3973,40.33175,-74.306474,NJ,"Kamalinejad, Aydin",(732) 972-3737,15-25,2022-12-24 06:59:40
3974,40.409842,-74.039994,NJ,"Khan, Mohammad S.",(732) 872-2800,13-23,2022-12-24 06:59:40
3975,40.8805,-74.7315,NJ,"Zaidi, Syed Akhtar",(973) 691-8900,20-30,2022-12-24 06:59:41
3976,40.7266,-74.151,NJ,"Joarder, Mohammed Shamsuzzaman",(973) 344-3033,13-23,2022-12-24 06:59:41
3977,39.972339,-74.870013,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 998-1111,20-30,2022-12-24 06:59:41
3979,41.00015,-73.953112,NJ,"Ansari, Massoud",(201) 784-1111,14-29,2022-12-24 06:59:41
3980,40.747611,-74.191177,NJ,"Khan, Mohammad S.",(973) 268-2700,15-25,2022-12-24 06:59:41
3981,40.854331,-74.83001,NJ,"Ansari, Massoud",(908) 813-3030,20-30,2022-12-24 06:59:41
3982,40.492741,-74.861332,NJ,"Patel, Shobhana D.",(908) 788-8008,13-28,2022-12-24 06:59:41
3984,40.56,-74.3394,NJ,"Ansari, Massoud",(732) 548-3939,14-24,2022-12-24 06:59:41
3985,40.855614,-74.143737,NJ,"Khan, Mohammad S.",(973) 778-4600,12-22,2022-12-24 06:59:41
3986,40.775989,-74.24001,NJ,"Khan, Mohammad S.",(973) 325-2020,10-25,2022-12-24 06:59:41
3987,40.7718,-74.03,NJ,"Khan, Shafiq A.",(201) 319-9000,14-24,2022-12-24 06:59:41
3988,40.88086,-74.644527,NJ,"Ansari, Massoud",(973) 252-1333,20-30,2022-12-24 06:59:41
3989,40.757881,-74.152918,NJ,"Joarder, Mohammed Shamsuzzaman",(201) 997-8400,20-30,2022-12-24 06:59:41
3990,40.669768,-74.914874,NJ,"Ansari, Massoud",(908) 638-8400,20-30,2022-12-24 06:59:41
3991,40.758,-74.9822,NJ,"Khan, Mohammad S.",(908) 689-2200,20-30,2022-12-24 06:59:41
3992,40.363776,-74.664482,NJ,"Khan, Muhammad Ratib",(609) 688-6870,17-27,2022-12-24 06:59:41
3995,40.253792,-74.338599,NJ,"Talwar, Subhash C.",(732) 780-9999,17-27,2022-12-24 06:59:41
3999,40.798068,-74.148093,NJ,"Beniamien, Malak S.",(973) 751-2222,20-30,2022-12-24 06:59:41
4500,40.756107,-74.046548,NJ,"Khan, Shafiq A.",(201) 714-9600,12-22,2022-12-24 06:59:59
4501,40.649609,-74.241399,NJ,"Khan, Mohammad S.",(908) 266-6100,12-22,2022-12-24 07:00:04
4502,40.170243,-74.700202,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 832-3333,13-28,2022-12-24 06:59:59
4504,40.8413,-74.2788,NJ,"Martinez, Wellington",(973) 228-6600,15-25,2022-12-24 06:59:59
4505,39.3934,-74.559,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 646-8222,12-27,2022-12-24 06:59:59
4506,39.635339,-74.804315,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 567-5111,12-22,2022-12-24 06:59:59
4507,39.87868,-75.1156,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 754-4000,20-30,2022-12-24 06:59:59
4508,39.875147,-74.815391,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 451-8888,13-28,2022-12-24 07:00:00
4509,40.7441,-74.2583,NJ,"Jahangir, Waheed",(973) 378-7900,32-42,2022-12-24 06:59:59
4510,39.910311,-75.048869,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 854-5600,15-25,2022-12-24 07:00:00
4511,39.9892,-75.0114,NJ,"Witting, Christopher W.",(856) 786-0100,20-30,2022-12-24 07:00:00
4512,39.4078,-75.038,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 327-4900,13-28,2022-12-24 07:00:00
4513,39.279306,-74.575794,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 788-3888,13-28,2022-12-24 07:00:00
4514,40.731899,-74.201065,NJ,"Khan, Mohammad S.",(973) 520-7700,12-22,2022-12-24 07:00:00
4515,39.705745,-75.113338,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 881-8100,15-25,2022-12-24 07:00:00
4516,39.486134,-75.024565,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 794-3030,15-30,2022-12-24 07:00:00
4517,40.725453,-74.225585,NJ,"Khan, Mohammad S.",(973) 399-7500,15-25,2022-12-24 07:00:00
4518,40.907,-74.1951,NJ,"Martinez, Wellington",(973) 684-1755,15-25,2022-12-24 07:00:00
4519,39.4302,-75.2337,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 455-6800,15-30,2022-12-24 07:00:00
4520,40.0427,-74.5766,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 723-5400,15-30,2022-12-24 07:00:00
4521,40.6617,-74.211,NJ,"Khan, Mohammad S.",(908) 355-3996,11-21,2022-12-24 07:00:00
4522,39.9464,-75.027,NJ,"Witting, Christopher W.",(856) 482-6610,20-30,2022-12-24 07:00:00
4523,39.8057,-74.9901,NJ,"McLaughlin, Brad A.",(856) 627-3030,15-25,2022-12-24 07:00:00
4524,40.405973,-74.128921,NJ,"Cecere, Robert A.",(732) 888-1700,15-30,2022-12-24 07:00:00
4525,40.0474,-74.8951,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 871-8800,12-22,2022-12-24 07:00:00
4526,39.9523,-74.9744,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 866-1500,15-25,2022-12-24 07:00:00
4527,39.866643,-75.077584,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 931-4100,20-30,2022-12-24 07:00:00
4528,39.851,-75.007,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 428-3900,15-30,2022-12-24 07:00:01
4530,40.2731,-74.7088,NJ,"Khan, Muhammad Ratib",(609) 895-1555,10-20,2022-12-24 07:00:00
4531,40.255935,-74.792967,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 883-1000,20-30,2022-12-24 07:00:00
4532,39.8291,-75.1585,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 845-6444,14-24,2022-12-24 07:00:00
4533,39.526981,-74.645159,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 593-9393,20-30,2022-12-24 07:00:01
4534,39.9587,-75.0655,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 663-2522,15-25,2022-12-24 07:00:01
4535,39.895809,-74.922215,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 596-5900,13-28,2022-12-24 07:00:01
4536,40.6865,-75.1455,NJ,"Khan, Mohammad S.",(908) 454-1022,15-25,2022-12-24 07:00:01
4537,40.8656,-73.9853,NJ,"Khan, Mohammad S.",(201) 944-9199,11-21,2022-12-24 07:00:01
4538,40.889,-74.0403,NJ,"Khan, Mohammad S.",(201) 487-6262,12-22,2022-12-24 07:00:01
4539,40.791415,-74.049402,NJ,"Khan, Shafiq A.",(201) 371-1000,14-24,2022-12-24 07:00:01
4540,40.29733,-74.05446,NJ,"Khan, Mohammad S.",(732) 389-2300,12-22,2022-12-24 07:00:01
4541,41.006826,-74.291479,NJ,"Martinez, Wellington",(973) 835-0333,15-25,2022-12-24 07:00:01
4542,40.5569,-74.2762,NJ,"Ansari, Massoud",(732) 750-3730,24-33,2022-12-24 07:00:01
4543,40.907152,-74.16011,NJ,"Dunn, Clifton William",(973) 370-3030,13-23,2022-12-24 07:00:01
4544,40.3513,-74.0669,NJ,"Khan, Mohammad S.",(732) 530-8300,15-25,2022-12-24 07:00:01
4545,40.2501,-74.2736,NJ,"Talwar, Subhash C.",(732) 577-9400,17-27,2022-12-24 07:00:01
4546,40.8517,-74.0845,NJ,"Khan, Mohammad S.",(201) 804-8181,15-25,2022-12-24 07:00:01
4547,40.440468,-74.13074,NJ,"Cecere, Robert A.",(732) 495-5200,13-23,2022-12-24 07:00:01
4550,40.737033,-74.03867,NJ,"Dunn, Clifton William",(201) 656-3030,13-23,2022-12-24 07:00:02
4551,40.555292,-74.525958,NJ,"Ansari, Massoud",(732) 563-0330,16-26,2022-12-24 07:00:01
4552,40.985242,-74.025436,NJ,"Ansari, Massoud",(201) 664-9494,20-35,2022-12-24 07:00:01
4553,40.28893,-74.47136,NJ,"Vahidi, Hadi",(732) 561-4510,20-30,2022-12-24 07:00:01
4554,40.6839,-74.1015,NJ,"Dunn, Clifton William",(201) 339-3030,15-25,2022-12-24 07:00:01
4556,39.664253,-75.509333,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 895-9999,13-28,2022-12-24 07:00:03
4558,40.438275,-74.226033,NJ,"Cecere, Robert A.",(732) 888-1100,15-25,2022-12-24 07:00:01
4559,40.400122,-74.228781,NJ,"Cecere, Robert A.",(732) 441-4445,15-30,2022-12-24 07:00:01
4561,39.843,-75.0703,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 939-6555,20-30,2022-12-24 07:00:02
4562,39.7504,-75.0459,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 232-3333,15-30,2022-12-24 07:00:02
4564,40.0695,-74.8546,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 387-8400,15-25,2022-12-24 07:00:02
4565,40.9367,-73.9946,NJ,"Ansari, Massoud",(201) 387-8000,14-29,2022-12-24 07:00:02
4566,40.923554,-74.108857,NJ,"Ansari, Massoud",(201) 796-1111,13-28,2022-12-24 07:00:02
4567,40.020046,-74.145139,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 206-0002,12-22,2022-12-24 07:00:02
4568,40.006874,-74.218666,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 573-7000,20-30,2022-12-24 07:00:02
4569,39.95345,-74.1571,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 929-1818,12-22,2022-12-24 07:00:02
4570,40.235475,-74.078973,NJ,"Khan, Mohammad S.",(732) 361-1649,15-25,2022-12-24 07:00:02
4571,40.866,-74.4224,NJ,"Atar, Murat",(973) 402-0313,12-27,2022-12-24 07:00:03
4572,40.8,-74.0078,NJ,"Khan, Mohammad S.",(201) 662-0600,12-22,2022-12-24 07:00:02
4573,40.7607,-74.4172,NJ,"Jahangir, Waheed",(973) 593-0070,15-15,2022-12-24 07:00:03
4574,40.855842,-74.025748,NJ,"Khan, Mohammad S.",(201) 293-8990,12-22,2022-12-24 07:00:03
4576,40.8097,-74.2087,NJ,"Khokhar, Mohammad I.",(973) 783-3333,20-30,2022-12-24 07:00:02
4577,40.774266,-74.185856,NJ,"Khan, Mohammad S.",(973) 482-7100,12-22,2022-12-24 07:00:03
4578,40.554688,-74.443577,NJ,"Khan, Mohammad S.",(732) 712-2000,12-22,2022-12-24 07:00:03
4580,40.60682,-74.28739,NJ,"Zaidi, Syed S.",(732) 574-2525,15-18,2022-12-24 07:00:05
4581,40.62182,-74.41279,NJ,"Khan, Mohammad S.",(908) 424-1444,12-22,2022-12-24 07:00:03
4582,40.65562,-74.307969,NJ,"Patel, Dilaver I.",(908) 272-4000,24-34,2022-12-24 07:00:04
4583,40.6657,-74.2348,NJ,"Khan, Mohammad S.",(908) 354-4322,12-22,2022-12-24 07:00:03
4584,40.096663,-74.144032,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 746-5555,13-28,2022-12-24 07:00:03
4585,40.69571,-74.26614,NJ,"Zaidi, Syed S.",(908) 851-2280,14-24,2022-12-24 07:00:03
4586,40.636266,-74.265129,NJ,"Khan, Mohammad S.",(908) 298-0200,12-22,2022-12-24 07:00:03
4587,40.6948,-74.2356,NJ,"Zaidi, Syed Akhtar",(908) 964-3733,20-30,2022-12-24 07:00:03
4588,40.7143,-74.3448,NJ,"Jahangir, Waheed",(908) 273-9550,13-13,2022-12-24 07:00:03
4589,40.7112,-74.3114,NJ,"Ansari, Massoud",(973) 912-9030,20-30,2022-12-24 07:00:06
4590,38.984571,-74.824002,NJ,"Williams, Joseph A.",(609) 846-1000,20-30,2022-12-24 07:00:03
4591,39.0135,-74.9392,NJ,"Jonas, Robert",(609) 886-5800,25-40,2022-12-24 07:00:05
4592,40.453785,-74.300168,NJ,"Zaidi, Syed S.",(732) 795-9000,16-26,2022-12-24 07:00:06
4593,40.802646,-74.481786,NJ,"Jahangir, Waheed",(973) 984-2900,13-13,2022-12-24 07:00:03
4594,40.66498,-74.577486,NJ,"Sheikh, Aziz A.",(908) 280-8200,16-31,2022-12-24 07:00:06
4595,40.0742,-74.0789,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 899-2400,,2022-12-24 07:00:32
4596,40.898589,-74.11278,NJ,"Ansari, Massoud",(201) 354-1010,15-25,2022-12-24 07:00:03
4597,40.896243,-73.978309,NJ,"Khan, Mohammad S.",(201) 439-8383,12-27,2022-12-24 07:00:03
4600,39.248595,-76.6938,NJ,"Khan, Mohammad S.",(201) 439-8383,12-22,2022-12-24 07:00:05
4602,39.539476,-76.355641,NJ,"Khan, Mohammad S.",(201) 439-8383,14-24,2022-12-24 07:00:05
4603,39.128023,-76.541584,NJ,"Khan, Mohammad S.",(201) 439-8383,14-24,2022-12-24 07:00:06
4605,39.166963,-76.622924,NJ,"Khan, Mohammad S.",(201) 439-8383,14-24,2022-12-24 07:00:06
4606,39.054949,-76.52481,NJ,"Khan, Mohammad S.",(201) 439-8383,60-70,2022-12-24 07:00:06
4950,40.1253,-74.0457,NJ,"Khan, Mohammad S.",(732) 528-7600,15-25,2022-12-24 07:00:15
4953,40.4339,-74.5459,NJ,"Ansari, Massoud",(732) 940-6633,15-25,2022-12-24 07:00:15
4955,40.88832,-74.525305,NJ,"Castellano, Vincent M.",(973) 957-2000,20-30,2022-12-24 07:00:15
4956,40.519931,-74.283147,NJ,"Zaidi, Syed S.",(732) 442-4433,12-22,2022-12-24 07:00:15
4958,39.98222,-74.786334,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 265-1300,20-30,2022-12-24 07:00:15
4959,40.2164,-74.7297,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 392-3200,15-25,2022-12-24 07:00:15
4962,40.504126,-74.643861,NJ,"Ansari, Massoud",(908) 874-3035,15-25,2022-12-24 07:00:15
4963,40.6463,-74.3991,NJ,"Khan, Mohammad S.",(908) 322-4311,11-21,2022-12-24 07:00:15
4964,40.9062,-74.4133,NJ,"Rivas, Noel",(973) 299-6555,15-25,2022-12-24 07:00:15
4965,40.3511,-74.4386,NJ,"Vahidi, Hadi",(732) 521-4800,20-30,2022-12-24 07:00:15
4966,39.3561,-74.4434,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 347-0303,15-30,2022-12-24 07:00:15
4968,40.56898,-74.62578,NJ,"Ansari, Massoud",(908) 526-3333,15-25,2022-12-24 07:00:15
4972,40.8839,-74.56,NJ,"Castellano, Vincent M.",(973) 328-3233,20-30,2022-12-24 07:00:15
4973,40.4705,-74.4504,NJ,"Vahidi, Hadi",(732) 249-0030,17-27,2022-12-24 07:00:15
4974,40.285,-73.9856,NJ,"Khan, Mohammad S.",(732) 571-3733,15-25,2022-12-24 07:00:15
4977,40.404096,-74.324334,NJ,"Zaidi, Syed S.",(732) 679-4343,16-26,2022-12-24 07:00:16
4983,39.8967,-74.1578,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 269-7800,12-27,2022-12-24 07:00:16
4984,39.437,-74.5166,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 646-8808,17-32,2022-12-24 07:00:15
4985,40.3915,-74.3903,NJ,"Ansari, Massoud",(732) 251-5000,12-22,2022-12-24 07:00:15
4986,39.9686,-74.5802,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 893-1600,15-25,2022-12-24 07:00:16
4988,40.762314,-74.212467,NJ,"Khan, Mohammad S.",(973) 676-4000,25-35,2022-12-24 07:00:16
4989,40.52418,-74.389886,NJ,"Khan, Mohammad S.",(732) 572-1441,10-20,2022-12-24 07:00:16
4991,40.5823,-74.4131,NJ,"Khan, Mohammad S.",(908) 756-3336,20-30,2022-12-24 07:00:16