store,lat,lon
1005,42.575,-83.128927
1008,42.455853,-83.346415
1010,42.468774,-83.456935
1012,42.205578,-83.180831
1014,42.4059,-83.3348
1015,42.590145,-82.951383
1016,42.423138,-83.761781
1022,42.325881,-83.337809
1025,42.283439,-83.270511
1028,42.361946,-83.066836
1031,42.626303,-83.023984
1034,42.4395,-82.9079
1035,42.402495,-83.052896
1036,42.4232,-82.9854
1040,42.3077,-83.4765
1041,42.395657,-83.443344
1043,42.972028,-85.913662
1046,42.6822,-83.1329
1050,42.278787,-83.38543
1051,42.447492,-85.671863
1054,42.650376,-83.494255
1059,42.329356,-83.046318
1065,42.806327,-83.625009
1068,42.50705,-83.318417
1070,43.020961,-83.51656
1071,42.23345,-84.403764
1074,42.80723,-83.707131
1077,42.535053,-83.078967
1078,42.500058,-83.222601
1079,42.670131,-83.233325
1081,42.444381,-83.651475
1085,42.369254,-83.315445
1090,42.312956,-83.123051
1092,42.198747,-83.221789
1093,42.140543,-83.209347
1094,42.530718,-83.780911
1097,42.924151,-83.624369
1098,43.001646,-84.558826
1100,42.302482,-83.709537
1101,42.246,-83.6278
1102,42.28842,-83.843774
1107,42.1702,-83.7742
1108,42.2169,-83.5678
1109,42.253448,-83.752221
1110,42.3464,-83.3855
1114,41.8892,-84.0561
1117,42.2504,-83.6631
1118,42.270216,-83.740224
1119,42.731432,-84.469433
1128,42.628337,-83.874683
1132,42.553333,-82.959639
1133,42.906391,-85.607732
1134,42.675732,-82.749792
1136,42.644963,-82.89768
1138,42.944678,-85.667528
1139,42.479543,-82.964529
1140,42.497674,-82.897715
1141,42.533505,-83.502087
1143,45.837,-87.0372
1144,42.0105,-86.495
1147,43.03671,-85.6885
1148,43.145637,-85.710055
1149,43.039793,-83.321615
1151,42.9837,-83.6931
1159,42.992857,-83.732904
1160,42.9977,-84.1787
1161,43.018459,-83.636647
1163,42.560677,-82.870299
1165,47.120072,-88.555089
1166,46.494355,-84.35017
1167,42.675561,-84.547322
1169,42.446904,-83.087378
1170,42.81118,-83.251816
1175,43.117017,-85.550248
1178,46.454463,-90.168453
1180,43.034265,-85.620549
1182,42.477169,-83.042734
1183,42.639127,-83.36432
1184,42.547028,-83.437664
1185,42.698935,-83.035105
1187,42.263099,-83.186598
1188,42.490288,-83.12928
1189,42.459532,-83.184074
1190,42.255528,-83.260772
1191,43.688287,-85.48431
1193,42.71535,-84.60204
1194,42.75268,-84.747081
1196,43.622014,-83.913789
1201,42.734186,-84.493515
1202,42.723076,-83.428
1206,42.718347,-84.409406
1207,42.784671,-84.542065
1208,42.731398,-84.552554
1211,42.6427,-84.5177
1212,42.756273,-84.544693
1213,42.741454,-84.617062
1217,43.4367,-83.9759
1219,43.177438,-83.752747
1222,42.272536,-84.975293
1223,42.325609,-85.519499
1227,42.24929,-85.5597
1228,41.964764,-84.667798
1235,42.329932,-85.155107
1236,43.391304,-84.666343
1238,43.6232,-84.2272
1240,43.5979,-84.7675
1245,43.595807,-83.890531
1248,42.078809,-86.483985
1249,44.271738,-85.40695
9320,30.041349,-95.488318
9321,26.40206,-99.01308
9322,30.39304,-97.70693
9323,29.829305,-95.71915
9324,29.869145,-95.331846
9325,26.292181,-97.986191
9326,29.692564,-95.208982
9327,33.101026,-96.801805
9328,33.16881,-96.923663
9329,33.018881,-96.735281
9330,29.195928,-96.269327
9331,33.153722,-97.061111
9332,33.6747,-96.905502
9333,30.67182,-97.918018
9334,31.069551,-97.67103
9335,26.185714,-97.714988
9336,30.758012,-98.228885
9337,30.38841,-97.64993
9338,30.630412,-96.378899
9339,33.0475,-96.991944
9340,29.456794,-98.448206
9341,30.895873,-102.909974
9342,31.997528,-106.590177
9343,31.849575,-106.356453
9344,32.523844,-97.34807
9345,32.762983,-97.485201
9346,29.754492,-95.499351
9347,29.902633,-96.905947
9348,30.317279,-97.984631
9349,33.551798,-101.956103
9351,39.302469,-76.619322
9352,33.755293,-96.538161
9353,38.978838,-76.541709
9354,39.65409,-78.760613
9355,39.655608,-78.926228
9356,39.521349,-77.65959
9357,38.83186,-76.941693
9360,33.423392,-96.588912
9361,30.307784,-97.920868
9362,27.795914,-97.433801
9363,28.036332,-97.516213
9364,27.599471,-97.223033
9365,30.20013,-97.8685
9366,27.710391,-97.406583
9370,46.238316,-114.15449
9371,32.62811,-97.13506
9372,30.33659,-97.71822
9373,29.36574,-98.44078
9374,26.25441,-98.31849
9375,32.87793,-97.42649
9376,29.573588,-95.283618
9377,31.109126,-99.332727
9378,29.965567,-95.540954
9379,33.002626,-96.978728
9381,31.46496,-97.11241
9382,29.34418,-99.12863
9383,29.603555,-98.223468
9384,29.66356,-98.04985
9385,45.406493,-122.677333
9386,44.524592,-122.907246
9387,43.990924,-124.102301
9389,45.74058,-122.87896
9390,45.428835,-122.831529
9391,45.546159,-122.711536
9392,44.87172,-123.022786
9393,44.94805,-123.05341
9394,46.147,-123.9155
9395,44.63625,-124.053586
9396,45.38247,-122.748278
9397,45.005822,-122.79327
9400,31.31999,-85.71025
9402,33.614171,-85.804717
9403,32.385701,-86.348392
9405,33.713357,-85.820009
9406,34.893935,-86.744836
9407,33.420756,-86.682032
9408,34.646262,-86.718591
9409,33.20634,-87.504961
9410,32.585029,-85.490528
9411,26.327415,-98.390331
9412,32.73758,-101.95181
9414,33.26034,-97.22313
9415,32.4602,-99.75802
9417,33.17872,-96.86743
9418,33.058505,-96.902631
9420,30.062786,-99.167987
9421,29.98301,-95.40959
9422,29.627898,-95.39122
9423,32.98924,-96.76826
9425,46.219839,-119.787147
9426,46.155802,-122.981249
9427,47.536549,-122.28009
9428,47.202924,-122.226632
9430,47.181125,-122.546603
9431,47.892308,-122.25723
9432,47.497982,-122.65458
9433,45.594219,-122.477535
9450,28.3815,-81.686431
9451,27.77179,-82.394029
9452,26.437417,-81.768822
9454,28.30015,-81.238939
9455,26.271999,-81.789384
9456,28.723587,-82.552068
9457,27.43095,-82.393482
9459,28.390541,-81.467968
9460,28.19536,-82.52181
9461,28.238602,-82.338778
9462,27.748766,-82.678757
9463,27.262402,-80.38843
9464,30.403827,-87.337956
9502,30.336762,-90.847503
9503,30.242184,-92.270071
9504,29.684593,-91.256599
9505,29.962028,-90.11432
9506,30.23227,-92.663655
9507,30.109585,-92.020292
9530,41.671453,-72.859955
9531,41.93857,-72.718093
9532,41.641138,-72.730279
9533,41.595221,-73.112441
9535,41.219055,-73.215433
9536,41.37423,-73.4238
9551,42.725572,-71.320094
9560,42.317154,-83.681938
9561,25.741148,-100.319252
9563,44.22923,-69.771593
9564,43.395127,-70.529975
9565,44.0049,-70.072316
9571,39.107687,-94.579804
9572,38.890185,-94.607308
9573,39.227146,-94.576387
9574,36.242809,-90.032884
9575,38.763238,-90.786995
9576,39.786792,-94.80385
9577,37.137954,-93.364084
9607,36.086023,-94.11954
9608,36.039058,-94.254357
9609,34.579068,-92.58444
9610,35.346155,-94.337532
9611,35.228685,-92.387348
9612,36.176197,-94.218764
9613,34.555278,-90.657956
9614,35.506312,-92.028702
9615,34.763324,-92.310036
9616,34.712395,-92.396688
9617,35.471089,-93.462732
9618,33.56915,-92.83628
9619,34.391152,-92.82912
9620,35.227508,-90.786334
9621,36.304007,-94.187758
9622,36.25339,-93.121606
9623,33.640481,-91.801157
9624,35.385608,-94.383083
9625,35.0299,-90.790606
9626,36.241706,-90.959162
9627,35.170869,-92.725874
9628,35.083686,-92.21181
9630,37.401583,-94.704904
9631,39.077665,-96.771367
9632,38.943235,-95.247449
9633,39.115979,-94.768169
9634,38.425869,-96.217134
9635,37.087587,-97.040673
9636,37.817732,-96.883295
9637,38.02809,-97.336147
9638,38.376359,-97.667654
9639,37.820233,-94.706744
9640,37.978472,-100.842359
9641,37.056853,-100.922689
9642,37.340811,-95.26729
9650,35.60736,-97.478154
9651,36.890397,-94.877676
9652,35.548331,-97.565517
9653,35.467246,-97.507254
9654,35.4935,-97.3659
9655,35.515479,-97.972183
9656,36.075306,-95.959405
9657,35.320297,-97.50552
9658,35.612057,-95.962304
9659,35.182086,-97.417183
9660,35.861489,-97.425288
9662,36.419477,-97.89333
9663,35.412196,-99.416871
9664,36.074938,-95.761027
9665,35.29103,-97.60701
9666,35.44925,-97.26436
9670,41.551159,-87.181497
9672,41.603986,-86.729991
9673,41.489967,-87.4571
9674,40.431485,-86.913423
9685,38.313963,-88.941882
9700,42.62301,-87.842821
9701,43.03961,-88.04776
9702,43.060496,-87.966935
9703,42.834801,-88.750977
9704,43.22051,-87.98303
9705,45.493569,-91.73336
9706,42.979953,-88.10275
9707,43.102981,-89.345699
9708,43.172239,-88.107063
9709,42.959605,-87.91858
9710,45.123966,-92.65682
9711,44.357323,-89.108841
9731,43.991782,-92.463117
9750,39.97208,-82.91228
9751,39.526702,-84.089321
9752,39.252827,-84.598603
9753,41.616556,-83.669061
9754,41.65386,-83.620679
9755,41.024136,-80.638925
9756,40.668794,-80.587839
9757,41.615558,-81.515122
9759,39.90974,-83.427057
9760,39.999331,-83.076016
9761,41.404975,-84.131973
9765,41.136025,-81.508748
9767,39.271316,-84.374321
9768,41.70692,-83.601496
9769,41.674,-83.70706
9770,41.316271,-81.349194
9771,41.210339,-80.752462
9772,39.984137,-82.817746
9773,41.615267,-83.48399
9774,41.155504,-83.4183
9800,42.153756,-71.008372
9801,42.141385,-71.148908
9802,42.174449,-72.321513
9803,42.044224,-71.07869
9805,42.481564,-70.902212
9806,42.35008,-71.8598
9807,42.721972,-70.986993
9808,42.464226,-70.943729
9809,42.255745,-72.249907
9857,42.320806,-83.684254
9860,35.059436,-106.559595
9861,35.103672,-79.015905
9875,42.317154,-83.68194
9896,42.320806,-83.684254
9916,34.485029,-85.823908
9930,22.177868,-100.985126
9937,22.177868,-100.985126
9938,42.317107,-83.682412
9944,22.177868,-100.985126
9947,29.75293,-95.39918
9970,51.485887,-0.300639
